작업의뢰명,작업의뢰내용,시스템명,금전대고객구분
만기계약 상담신청 알림톡 매핑정보 일부 수정,만기계약 상담신청 알림톡 매핑정보 일부 수정,DB운영팀,2
GA매니저 역량성과 확정건수 알림대상 변경 요청,"GA매니저 역량성과 확정건수 알림대상 변경 요청
  _ 인사이동으로 인한 이동사원 제거와 추가 요청

(제외) 김경희 차장, 안인수 과장, 김현미 대리
(추가) 나지영 대리",AM교육파트,1
25.12월 조직개편으로 인한 점포형태 추가,"○ 요청배경
    _ 25.12월 조직개편으로 파트너영업점 점포형태 추가
    _ 점포형태 구분에 따라 내부팀, 외부팀 선행 조건 수정

 ○ 요청수당 : 교차팀장 성과수수료
",AM지원파트,0
지점장 일일활동 입력화면 팝업 문구 수정,지점장 일일활동 입력화면 팝업 문구 수정,개인영업지원파트,2
코칭리더 성과 대상건 처리 변경,조직개편에 따른 지역단 처리 반영,영업교육기획파트,1
"   □ 집금률 화면 _ 기업보험부문 추가 요청					","    _  기업보험부문 구분자 추가 요청
",마케팅기획파트,0
이관고객터치 제외대상 추가(17.10월이전 이관건),이관고객터치 제외대상 추가(17.10월이전 이관건),DB운영팀,2
25.12월 점포변경사항에 따른 권한 변경,조직개편에 따른 조회 권한 변경 작업,소비자정책기획팀,0
위촉제한관리 화면내 일부 결재선 로직 수정,위촉제한관리 화면내 일부 결재선 로직 수정,개인영업지원파트,0
12월 이벤트 대고객 문자발송 2차,12월 이벤트 대고객 문자발송 2차,DB운영팀,2
개인부문 핵심전략 알림톡 일괄 발송 대상자 추출 개선,개인부문 핵심전략 알림톡 일괄 발송 대상자 추출 개선,영업교육기획파트,2
"   □ 유지율 화면 조직개편 반영 요청					","_ 전체 조회시 개인부문,AM부문 + 본부단3개 추가 요청
_ 조직개편에 따른 집금률 화면 개선 요청
",마케팅기획파트,0
영업지원기준실적 화면(MKSP0080U) 조회대상 요건변경 요청,조회대상 지역단 조회 시 플래너별 조회될 수 있도록 반영요청. ‘플래너별‘ 콤마버튼 추가요청.,마케팅지원파트,0
SMS 추가지급 간부값 수정요청,"   FM팀장은 STCH_STF_CAT？= ‘05‘ AND STCH_STF_DET_CAT？？&lt;&gt; ？‘01‘？？ 
  _&gt; SM팀장
   TC FM팀장은 STCH_STF_CAT = ‘05‘ AND STCH_STF_DET_CAT？ = ‘01‘
  _&gt;TC SM팀장",마케팅지원파트,0
"   □ 자동차 갱신율 배치 수정 요청					","    _ 자동차 갱신율 사업부/지역단 체재 배치수정 요청
",마케팅기획파트,3
수수료조정결재 결재선 수정요청,수수료조정결재 결재선 수정요청 (일부 지점 상신불가 ),마케팅지원파트,1
영업포탈 법인SFA에 일반보험지원파트 권한 추가 요청,영업포탈 법인SFA에 일반보험지원파트 권한 추가 요청,일반보험지원파트,0
특성구분처리 선지급형 변경 요청,"   ○ 특성구분처리(MKSH2070U) 선지급형 변경 						
      _ 대상 : 신인, 신인Ⅱ, 기존플래너						
      _ 선지급 Ⅰ 타입 선택시 저장버튼 비활성화 (‘26.1.6자로 타입삭제 예정)						
      _ 선지급강화형 특성구분 생성 						
",마케팅지원파트,0
교차알림톡 발송대상자 변경,교차알림톡 발송대상 범위 변경,AM교육파트,2
하이스타 주력상품 변경,주력상품 변경,개인영업지원파트,0
고용보험 외국인 로직 변경,"   ○ 현황통계_고용보험(MKSH5010U)					
      _ 주민등록번호 뒷자리 7,8도 외국인으로 체크하도록 로직 변경					
",마케팅지원파트,0
정착 관련 화면 비전센터장 조회권한 부여 및 화면 개선,정착 관련 화면 비전센터장 조회권한 부여 및 화면 개선,개인영업지원파트,0
수험신청 조회 내 전송순서 확정권한 지역단 필요,조직개편으로 인한 수험신청 조회화면 내 전송순서 확정권한 지역단(조직파트)에 필요,개인영업지원파트,0
지역단 소속 사업부 지원 스탭 조회 권한 적용 요청,업무기술서 참조,마케팅지원파트,0
"   □ 가입설계진도 명칭변경 진행					","    _ 장기가입설계진도 명칭변경 ( 305 → 케어더블암 )
",마케팅기획파트,3
"   □ 확정실적 화면 조회 로직 변경 요청					","  _ 전체조회시 기업부문 최하단으로 이동 요청
  _ 명칭변경 : 기업부문 → 기업보험부문 / 기타 → 자동차업무본부
  _ 월별, 일별, 달성률 ( 월별 ) , 달성률 ( 일별 ) , 실적진도순위_ 확정실적
",마케팅기획파트,0
비전센터장 직무코드 변경 관련 작업요청,비전센터장 직무코드 변경 관련 작업요청,마케팅지원파트,0
교육과정관리 예산 배정부서 맵핑 요청 ,업무기술서 참고 ,영업교육기획파트,0
교육과정관리 비전센터 코드 또는 명칭 입력 시 반영토록 개발 ,업무기술서 참고 ,영업교육기획파트,0
영업시책비_시책비마감 (본사) 일괄 확정/해제 기능 추가,"현재 사업부별 시책비 마감 후 입력확정으로 최종 마감 확인 _&gt; 혹시나 문제가 생겼을때 사업부 코드별로 각각 해제 및 등록해야하는 번거로움으로 일괄해제, 확정버튼 추가 (본사 한)",마케팅지원파트,1
DB영업활동통계 마감데이터 수정,DB영업활동통계 마감데이터 수정(조직개편 이전/이후 구분),DB운영팀,0
점포운영비 12월 조직개편 사항 반영,점포운영비 12월 조직개편 사항 반영 : 조회권한 및 조회대상,마케팅지원파트,0
만기계약 알림톡 발송 대상 본부 수정,만기계약 알림톡 발송 대상 본부 수정,DB운영팀,2
행복보장분석 수행기준 변경, ,마케팅지원파트,2
경조사 입력결재_2026 경조 영지안 반영,2026 경조 영지안 반영 및 상태조회 화면 (부서) 추가,마케팅지원파트,0
점포운영비_업로드 양식 수정 (부문 구분),점포운영비 업로드 양식 수정 (부문 구분) ,마케팅지원파트,0
타겟DB 화면 조회 관련 권한 추가 수정,타겟DB 화면 조회 관련 권한 추가 수정,DB운영팀,0
25년 육아지원비 산출로직 보완,"        _ 육아지원비 (육성리더) 코칭리더 지급기준 평가 로직 보완
          ※ 코칭리더 담당 교육과정 내 수료인원의 평균 환산실적으로 산출
         (현행) 본부코드 조건 → 삭제

",마케팅지원파트,1
가망DB 당사자ID 매핑 로직 개선,가망DB 당사자ID 매핑 로직 개선,DB운영팀,0
비전센터장 지역단 포탈조회권한 요청,비전센터장 지역단 포탈조회권한 요청,마케팅지원파트,0
지역단 신설에 따른 성과수당  매출 조회 조건 추가,업무기술서 참조,마케팅지원파트,1
점포변경에 따른 하이플래너 소속 반영(25.12월),고객관리 모니터링 대상건 변경 조직 소속으로 반영,소비자정책기획팀,0
점포개편에 따른 지역단 조회구분값 추가_일일활동입력_비전센터장,점포개편에 따른 지역단 조회구분값 추가_일일활동입력_비전센터장,영업교육기획파트,0
실적진도순위_면접 내 비전센터 반영 요청,"조직개편으로 인한 화면 내 비전센터 반영 요청의 건입니다.
( 하이포탈+ &gt; 마케팅 &gt; [공통]실적진도현황 &gt; 실적지너도순위_면접 )",개인영업지원파트,0
"드림영업실, 파트너영업점 해촉이관 기준 신설","  1. 해촉이관 기준 변경 : 드림영업실 신설에 따른 해촉이관 기준 신설					
     ○ 드림영업실 해촉 시 소속변경 이전점포로 해촉이관 (이전점포 내 유치자 또는 3T코드)					
  2. 해촉이관 기준 변경 : 파트너영업점 신설에 따른 해촉이관 기준 신설					
     ○ 교차설계사 해촉 시 					
       _ 유치자 有 : 유치자 이관 (유치 교차설계사 이관 : DB회수 불가)					
                        OR 					
		   소속교차팀장 이관 (소속 교차팀장 이관 : 이관 후 미터치 DB회수(전사DB 활용))			
",마케팅지원파트,0
소속변경 간부값 신설 및 정비,"     1. 간부값 정리					
        _ 폐지 : FM, 교차FM팀장, 신채널, 팀 트레이너  					
	 ※ 리크루터, 원격FM, 전략팀장 현재 보유자 없을시 폐지 진행				
     2. 간부값 신설					
        _ 신설 : SM팀장, SM, 드림매니저, CM, CM입문, CM퍼스티					
	※ CM은 SM과 겸직 가능				
",마케팅지원파트,0
무배당하이라이프퍼펙트패키지보험 수수료율 추가반영,"    1. 무배당하이라이프퍼펙트패키지보험 수수료율 추가 반영 요청
        ○ 대상보종 : 2120,2121,2122,2123,2124
        ○ 추가 반영사항 : 대상보종 갱신 시 잔여갱신(납기기준 1~2년) 보험료에 대한 모집수수료 0, 수금수료 0 
        ○ 기간 : 2010.04 ~ 소급적용
",마케팅지원파트,1
2025년 연도대상 조회기준 변경 요청,"‘26.1.1 부로 퇴직자 제외 후, 인제휴 차상위자가 수상 후보자로 조회",전략채널운영파트,0
고객관리 모니터링 대상건 배치 수정 및 통계화면 반영,고객관리 모니터링 대상건 배치 수정 및 통계화면 반영,소비자정책기획팀,2
○ 26년 영업지원기준안 개정 : 기존하이플래너 표준활동,"      1.  평가대상 : 제외 대상*을 제외한 13차월 이상 하이플래너				
             *제외 대상 (SA팀은 제외대상 아님)			
                  _ 소속 : 99팀, 파트너영업점				
                  _ 육성리더 : 코칭리더, GA매니저, 파트너영업점 소속 육성리더				
                  _ 특성 : 비전속, 외곽, B type, 법인, 교차				
                  _ 소득 : 전전월 육성소득 5백만원(TC) 이상				
                  _ 차월 : 12차월이하 신인				
",마케팅지원파트,3
CRM플래너 관련 화면 비전센터 추가,"○ CRM플래너 관련 화면 비전센터 추가
      _ 대상화면 : CRM플래너 체결리스트(CMEM0401U), CRM플래너 명단(CMEM0301U)	
     _ CRM플래너 명단 : 조회순서가 제주사업부가 맨 마지막으로 가도록 순서 수정(현재는 맨 위에 있습니다!)	
     _ CRM플래너 체결리스트 : 조회구분에 ＂비전센터＂ 추가(비전센터 코드 입력)	
     (자세한 화면 사항은 ＂별첨＂ 시트 참고)	
",DB운영팀,0
선지급보증보험 배치 기능 추가,"    1. 보증보험청구대상건 생성 배치 기능 추가
       _ 생성된 데이터에 대한 증권별 초기화 기능 추가
",마케팅지원파트,0
위촉심사항목 결재라인 정비,조직개편에 따른 위촉심사항목 결재라인 정비,마케팅지원파트,3
알림톡 발송대상 추가 요청,AM부문 카카오 알림톡 발송 대상에 전략채널본부 일부 부서 추가,전략채널기획파트,2
노트북 구입지원비 지급 조건 변경,노트북 구입지원비 지급 조건 변경,개인영업지원파트,1
가코드 매니저 매칭대리점 등록 가능하도록 전산구현 요청,"    _  챌린지 매니저 수수료 계산시 매칭대리점 매칭으로 계산이 되고 있으나
      현재 가코드 매니저는 매칭 대리점 등록이 되지 않아 육성리더2 화면에서 매출성과,가동지사 ,유실적 확인불가
    _ 가코드 매니저도 매칭 대리점 등록 가능하도록 검토 부탁드립니다.",AM교육파트,0
영업지원기준안 개정_기존_신인 수수료_비례,영업지원기준안 개정_기존_신인 수수료_비례,마케팅지원파트,3
"   □ 집금률 화면 조직개편 반영 요청					","_ 전체 조회시 개인부문,AM부문 + 본부단3개 추가 요청
_ 조직개편에 따른 집금률 화면 개선 요청
",마케팅기획파트,0
영업시책비_12월 조직개편 변경사항 조회대상 및 결재선,12월 조직개편 변경사항 조회대상 및 결재선,마케팅지원파트,1
배상책임보험 공단부담금 등 관리,첨부 된 업무기술서 참조,손사지원팀,1
관리계약_이륜차 부담보 모바일 변경내역 생성 기준 개선,"1. 개요					
 _. 손사EDMS 서식 미발생건에 대한 로직 개선					
					
2. 요청내용					
 _. 이륜차부담보 가입여부 및 workDB 생성 완료 이후 변경내역 보관 가능하도록 로직 보완					
",이재계약관리팀,2
[온라인 메시지 리뉴얼] 장기보상 만족도 설문조사 (CFKI0133),CFKK0133_CFKA2230530015_장기보상 만족도 설문조사,디지털기획파트,2
[온라인 메시지 리뉴얼] 장기손사_서류보완요청 (CFKI0125),CFKK0125_CKFA1230530083_장기손사_서류보완요청,디지털기획파트,2
(약관분석_신규담보) 2024.10.1 / 10.7 / 10.14 판매상품,"(약관분석_신규담보) 2024.10.1 / 10.7 / 10.14 판매상품 작업 요청드립니다
#상세내용 업무기술서 참고부탁드립니다. ",장기손사기획파트,3
연말정산 실손보험금 추출 배치 수정 작업요청,2024년 실손보험금 추출 적용,장기손사기획파트,3
edms 서식이동 內 ocr 대상이동 선택추가,edms 서식이동 內 ocr 대상이동 선택추가,장기손사기획파트,2
정보입력 확정 체크 로직 신설 및 재물배상 사고 OCR 제외요청,정보입력 확정 체크 로직 신설 및 재물배상 사고 OCR 제외요청,장기손사기획파트,2
사고가접수배당화면 수정요청,사고가접수배당화면 변경요청입니다.,장기손사기획파트,0
정보입력_비용탭_외국인주민번호 입력 관련,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
사고처리 시 계약유의조건관리 프로세스 개발,첨부 된 업무기술서 참조,손사지원팀,3
OCR_인식대상 미처리건 배치 일괄 전환 요청,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,3
(조직코드 추가 요청) 화면 조회 조건 변경 요청 (QI 화면),업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
관리계약통합미결 화면의 로딩팝업 제외 요청,"관리계약통합미결(CFFZ6100U) 화면에서 대상기간 3개월 초과 조회시 발생되는 팝업(조회 대상기간이 3개월을 초과하여, 처리시간이 오래걸릴 수 있습니다) 제외 요청",이재계약관리팀,0
UMS통합 등록문자 내용등록 개선,UMS통합 등록문자 내용등록 개선,장기손사기획파트,0
관리계약 회신화면 크기및 내용 추가요청,"1. 관리계약 회신시 나오는 의뢰내용 화면을 확대해주시고 (처리내용은 줄이고)

 

2. 관리계약 회신시 관리계약 의뢰내용에 결재자및 결재일자 (관리계약을 의뢰한 손사 최종결재부서)가 나오도록 추가화면 수정 부탁드립니다.
",이재계약관리팀,0
ㅁ서베이수수료 조직별 통계 화면 신설,통계조회 화면 신설 요청드립니다.,장기손사기획파트,1
OCR처리대상관리 일련번호 추가 반영,OCR일반손사처리대상관리TBL 일련번호 컬럼 추가 및 생성 업무 반영,특종손사팀,0
(성능개선) 치료비용통계 발생 데이터 적재 시 데이터 적재 방식 변경,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
가족사항(이해관계자) 전산 화면 폐쇄 및 배당로직 제거,"_ 가족사항(이해관계자) 전산 화면 폐쇄 및 배당로직 삭제
_  노동조합 노사협의 대상건으로 해당건 전산프로세스 원복 요청(전면 재검토 수용)
",장기손사기획파트,0
ICIS 신정원 변경 결재권한 신설 요청의 건 ,"[★ 상호 유선 및 쪽지 공유완료_ 보험사고정보이력관리 및 결재대상명세 장기손사포탈화면상 담당자별 결재권한 부여 요청의 건]

1. ICIS 신정원 2024.07.01~2024.12.10 박준혁 선임 미결 건 199 건 박준혁 선임에게 결재버튼 활성화 요청
2. ICIS 신정원 2024.01.01~2024.12.10 송영미 전임 미결 건 760건 송영미 전임에게 결재버튼 활성화 요청",장기손사기획파트,2
실손의료보험금 지급내역 화면 주민등록번호 조회 조건 암호화 처리,실손의료보험금 지급내역 화면 주민등록번호 조회 조건 암호화 처리,손사지원팀,1
100세시대 간병보험 연금담보조회 면책사유조회시 종형코드 추가 요청,100세시대 간병보험의 연금담보조회시 면책사유 조회의 조건으로 종형코드 추가 요청,장기손사기획파트,3
홈페이지 모바일 보험금 청구 프로세스 개선,"홈페이지 모바일 보험금 청구시 로그인 주민번호의 계약자/피보험자/친권자 구분없이 일괄조회 불러오기 기능 요청
피보험자 일괄불러오기 조회기준(질병상해 외 연금 제외)",장기손사기획파트,3
OCR  대상문서 등록 기능 개발,EDMS 뷰어 특정 문서를 OCR  처리 대상 서식으로 등록 또는 서식 변경,특종손사팀,0
보험금조회 화면 內 ‘지연이자조회‘ 화면 표기 조건 변경,보험금조회 화면 內 ‘지연이자조회‘ 화면 표기 조건 변경,장기손사기획파트,1
배상책임보험 공단부담금 등 관리 _ 보고서등록화면,4. 보고서등록화면(변경) 시트 참고,손사지원팀,1
장기손사 정보입력 화면 조회시 OCR 치료정보 적재,"장기손사 정보입력 화면 조회시
OCR데이터 치료테이블 적재 트랜 호출 추가",장기손사기획파트,0
장기 연계접수 로직 변경,실손담보 장기연계 접수 가접수로 전환,특종손사팀,0
겨울철 컨틴전시 관련 접수 안내 문자 운영 요청," &lt;겨울철 심사지연 안내문구 연간 운영 요청&gt;

1. 운영기간 : 매년 12월 21일 ~ (익년도) 2월 28일

 2. 문구 : 겨울철 독감환자 급증에따라, 보험금청구 건수가 급격히 증가하고 있습니다. 
            보험금 지급심사가 지연되고 있는 점, 고객 여러분들의 많은 양해 부탁드립니다.
",장기손사기획파트,0
원천세(귀속 2024년) 자료 요청,"원천세(귀속 2024년) 연도자료 요청 

&gt; 원천세 년도자료 추출을 위한 배치 프로그램 수정 
&gt; 사업소득 / 기타소득 년도자료 추출 
",장기손사기획파트,0
장기보상본부 배당로직 변경 작업 요청(‘25.1.1일자),"1. 장기보상본부 배당(25.1월 적용) 변경안
 
2. 상해장해 배당요건정의와 심사자변경화면 변경안

 _ 상해장해 장해전담과 장해전담외 구분을 위함
 _ 본부내 진단금센터, 일반센터 배당변경에 따른 심사자변경화면 변경사유 변경 필요

3. 정보입력 화면변경안

   1) 장해입력시 인공관절/골두 삽입 체크 =&gt; 장해전담외 로 배당 목적
   2) 위 1)번 입력위해 화면변경하면서 팝업화면 1개 신설하여 수술여부, 수술명 입력예정
",장기손사기획파트,0
관리계약 의뢰 권한 확대 반영,관리계약 의뢰시 담당자 권한 확대 요청,이재계약관리팀,0
"인풋값 개발 요청_배당, 전산심사(룰)",업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,3
OCR시스템 재구축 프로젝트 SM 작업 #2,OCR 시스템 재구축 프로젝트 관련 개발 #2,데이터사이언스파트,0
피보험자통합조회_심사체크 조회 개선,업무기술서 참조 요청드립니다.,장기손사기획파트,3
원천세 개선 작업 요청,사고번호 : 1807224299 의 원천세 추출 대상 건 제외,장기손사기획파트,0
암주요치료비 전문심사 프로세스 신설 요청,"#암주요치료비 전문심사 프로세스 신설 요청드립니다.
(상세내용 업무기술서 참조요청드립니다.) ",장기손사기획파트,3
통지위반 고객 알림 문자발송 연락처 체크조건 변경요청,"통지위반 고객 알림 문자발송 연락처 체크조건 변경					
",이재계약관리팀,2
해외장기체류단체보험 모바일접수 추가,"해외장기체류단체보험 ( 보종코드 8412 ) 모바일/홈페이지 접수 기능 추가요청
",특종손사팀,2
정보입력화면 내 영수증입력에 따른 진료과목 자동선택,정보입력화면 내 영수증입력에 따른 진료과목 자동선택,장기손사기획파트,0
조직별 대표손해사정사 변경(2025.1월),"○ 현대해상 / 하이라이프 조직별 대표손해사정사 변경					
○ [고객안내문], [고객지연안내문], [손해사정서 교부]의 ＂손해사정사名＂ 표시					
  _ 담당자 기준으로 소속되어 있는 센터 및 부서의 대표손해사정사 기재					
",장기손사기획파트,0
정보입력화면 內 진단관련서류 선택사항 추가,정보입력화면 內 진단관련서류 선택사항 추가,장기손사기획파트,0
OCR 수기 작동 시 버튼 활성화 로직 변경,정보입력 확정 후 손사담당자가 OCR 수기 작동 시킬때 인식결과여부 판단하여 OCR 버튼 활성화 되로록 변경,특종손사팀,0
EDMS뷰어 이미지목록 문서명 변경 요청,EDMS뷰어 이미지목록의 문서 순번과 서식명 사이 공백 추가 요청,특종손사팀,0
(약관분석) 2024.12.1 판매상품,(약관분석) 2024.12.1 판매상품 PF/이노클래임 반영요청드립니다.,장기손사기획파트,3
ICIS 변경 관련 신정원 IP주소 손사포탈권한 부여,"1. ICIS 변경 관련 신정원 등록 IP주소 장기손사포탈 권한 부여 요청 
_ 박근희 선임 (313042) /  신정원 등록 IP = 10.85.30.135
_ 박준혁 선임 (313168) / 신정원 등록 IP = 10.85.30.144
_ 송영미 선임 (313321) / 신정원 등록 IP = 10.85.30.31",장기손사기획파트,2
(연말정산) 지급내역 조회 화면 內 대상년도 및 대상기간 개선 요청의 건,"1. 보험금 지급내역_실손(연말정산) _ 대상년도 고정값 수정 요청의 건
2. 발행/ E_MAIL / FAX / MOBILE _ 각각의 보험금 지급내역 발행방법에 대하여 대상년도 동일하게 수정 요청",장기손사기획파트,3
사고담당자 부서이동으로 인한 관리계약입력자 요청소속 반영 건,"손사부서가 아닌 타부서로 이동한 심사건에 대한 관리계약 입력시 담당자변경없이 요청된이후
센터장님 결재도 가능하도록 반영 바랍니다.
",이재계약관리팀,2
주요치료 음영표기 변경요청,주요치료 음영표기 변경요청,장기손사기획파트,0
배당룰 자동산출 데이터 한도 개선,배당룰 자동산출 데이터 한도 개선,장기손사기획파트,0
EDMS문서 파일명 규칙 및 건복사 기능 변경,"파일명에 : 규칙 변경, 건복사 OCR 실행 기능 추가 ",특종손사팀,0
사고접수 서비스에 OCR 일련번호 컬럼 추가,OCR일반손사처리대상관리TBL 일련번호 추가에 따른 사고접수 서비스에 일련번호 컬럼 추가 ,특종손사팀,2
마감통계_사고종결현황 배치 로그 추가,마감통계_사고종결현황 배치 속도 개선을 위한 분석용 로그 추가 ,장기손사기획파트,0
손사담보설명 화면內 ＂미지급사유＂ 항목 추가 ,"1. PF화면 및 테이블 미지급사유 컬럼 추가 적재 요청(손사담보설명 기적용중)
2. 손사포탈 화면內 미지급사유 항목 추가 : ＂보상하지 않는 사유＂",장기손사기획파트,0
관리계약 미결 의뢰일자 기준 경과일수 문자발송 중지요청 ,"_ 알림 문자발송 중지요청 (2월중 별도 재개 작업의뢰예정입니다) 
_ 관리계약 건수 증가로인한 문자발송이 증가하여 중지이후 별도 재요청예정
",이재계약관리팀,2
4세대실손 비급여차등제 관련 보종코드 추가,4세대실손 비급여차등제 관련 보종코드 추가,장기손사기획파트,2
"인풋값 개발 요청_배당, 전산심사",업무기술서 참조 요청드립니다.,장기손사기획파트,3
관리계약_이재소멸 팝업 스킵 이력 관리 개선 요청,"1. 개요					
 _. 배치시 과거 등록 이력이 삭제됨에 따라 문제 발생시 정확한 원인 파악에 어려움이 존재					
					
2. 요청내용					
 _. 대상화면 : 손사이재소멸담보관리(CFFZ9600U)					
 _. 내용 : 배치시 과거 등록 이력 삭제되지 않도록 로직 개선 요청					",이재계약관리팀,0
손사포탈 공통함수 적용 요청 (파일 다운로드  시),업무기술서 참조 요청드립니다. ,장기손사기획파트,0
관리계약 미결 의뢰일자 기준 경과일수 알림 문자 발송 기준 수정,관리계약 미결 의뢰일자 기준 경과일수 알림 문자 발송 기준 수정,이재계약관리팀,2
OCR_할인액 조회 시 조건 제외 요청,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,3
영업포탈 사고접수 화면 청구서 발행 QR코드 매핑 개선,영포 사고접수(상해/질병) 화면 청구서발행 QR코드 매핑값 보완,장기손사기획파트,2
(자보연계) 화면 통합 작업,"(자보연계) 화면 통합 작업 요청
     AS_IS: 자보연계가접수조회, 사고가접수일괄배당 화면 이원화
     TO_BE: 자보연계가접수조회 화면으로 일원화 통합",장기손사기획파트,0
담담당자괸ㄹ_세부직군 한도 증설 요청,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
OCR장기손사처리대상관리 일련번호 추가 반영,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
스크래핑_기본증명서 적용 요청,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,2
OCR 인식 후 정보입력 ,"1. 인보험 외 담보 영수증 정보추출 후 치료T 적재 제외 
2. 필수 항목 빈값일 경우 정보입력 확정 불가 ",특종손사팀,0
장기보상본부 배당로직 변경 작업 요청(‘25.1.1일자),"1. 장기보상본부 배당(25.1월 적용) 변경안				
 				
2. 상해장해 배당요건정의와 심사자변경화면 변경안				
				
 _ 상해장해 장해전담과 장해전담외 구분을 위함				
 _ 본부내 진단금센터, 일반센터 배당변경에 따른 심사자변경화면 변경사유 변경 필요				
				
3. 정보입력 화면변경안				
				
   1) 장해입력시 인공관절/골두 삽입 체크 =&gt; 장해전담외 로 배당 목적				
   2) 위 1)번 입력위해 화면변경하면서 팝업화면 1개 신설하여 수술여부, 수술명 입력예정				
",장기손사기획파트,0
의료자문의뢰 결재라인 개선(29),"의료자문의뢰시 결재라인 개선 
: 담당자 인사이동으로 부서변경으로 타담당자가 업무대행시 =&gt; 사고번호 기준 소속부서 관리가에게 결재가 상신되도록 개선. ",장기손사지원파트,0
손해사정 보정공문 발행물 양식 수정,손해사정보정공문 발행물 양식 수정 _ EDMS상 공문 확인시 손해사정구분값 확인 가능하도록 보완 요청드립니다. ,장기손사기획파트,3
(약관분석) 2024.11.1~4 판매상품,(약관분석) 2024.11.1~4 판매상품 약관분석 적재 요청드립니다. ,장기손사기획파트,3
사고접수 관련 OCR 일련번호 추가 서비스 반영,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,2
신규건 진접수 전환 개선 ,"1. 손사포탈 신규건 진접수 전환 배치시 대상건 개선
2. 가접수번호 범위로 진접수 전환 배치 신설 ",장기손사기획파트,3
일반장기소송화면개선_변호사명 추출 개선,"변호사명 추출 개선
_ 대상화면 : 변론, 소송사건기준명세, 변호사평가현황, 판결
※ 세부사항 붙임 업무기술서 참고",일반장기송무파트,0
일반손사 정보입력 화면 조회시 OCR 치료정보 적재,일반손사 정보입력 화면 조회시 OCR 데이터 치료테이블 적재 트랜 호출 추가,특종손사팀,0
OCR인식대상 적재,접수화면 첨부파일 등록시 OCR 적재,특종손사팀,0
일반장기소송화면 개선_변호사 평가 팝업 관련,"일반장기소송화면 개선 : 변호사 평가 팝업 관련 변경
※ 세부사항 붙임 업무기술서 참고",일반장기송무파트,1
심사자배당명세_조회 조건 변경 요청(장해전담 TF),업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,3
유효생산성 화면내 기능추가,유효생산성 화면내 기능추가,장기손사기획파트,0
OCR_인식대상 미처리건 조회 시 ORDER BY 조건 제외,업무기술서 참조 요청드립니다. 감사합니다.,장기손사기획파트,0
관리계약_미결화면 연도 표시 기준 개선,"1. 개요					
 _. 연도 표시 기준 개선 필요					
					
2. 요청내용					
 _. 연도 표시 로직 개선					",이재계약관리팀,0
피보험자 불러오기 조회 조건 개선,"1. 피보험자 불러오기 조회 로직 개선

※첨부파일 참조",장기손사기획파트,2
하이카손해사정 재물배상2센터 배당 수정 요청,"재물배상2센터 (H53030) 사고접수시 배당 수정 요청
 _ 변경전 : 재물배상2센터 H53030으로 사고 접수시 사고가 국제손해사정으로 배당됨
 _ 변경후 :  재물배상1센터 H53010처럼 H53030이 사고 접수시 접수한 조직(H53030)으로 배당 되게 수정",손사지원팀,2
(약관분석) 2024.11.18 판매상품,(약관분석) 2024.11.18 판매상품 PF/이노클래임 반영요청드립니다.,장기손사기획파트,3
"● 심사자 배당명세, 손해액 심사 등 내용변경요청","● 심사자 배당명세, 손해액 심사 등 내용변경요청",장기손사기획파트,3
관리계약_사전질의 회신결과 기반 보정공문 데이터 연결 및 레이아웃 변경,"1. 개요					
 _. 사전질의 회신결과 보정공문 연동 요청					
					
2. 요청내용					
_ (현행) 사전질의 의뢰 DATA 기반 보정공문 내용 자동 작성					
  (개선) 사전질의 회신 DATA 기발 보정공문 작성되도록 수정 필요					
      ① [계약정보] 표시 레이아웃 변경					
        _ 해지 계약 2개 이상인 경우 감안 레이아웃 변경 필요					
        _ 계약자 2명 이상인 경우 각각 저장하여 결재 요청되도록 로직 수정 (알림팝업도 발생 필요)					
      ② [위반사항] 레이아웃 ①에 맞춰 변경					
        _ 상세 레이아웃 ‘화면‘ 시트 참조					
      ③ 제목 세팅값 변경 (맨뒤에 피보험자 값 추가)					
              예시) 제목 : 계약전 알릴의무 위반에 따른 계약 조치 예정 안내 (피보험자 : 홍길동)					
",이재계약관리팀,0
심사수정화면 재산출 전 체크로직 신설 요청,심사수정화면 재산출 전 체크로직 신설 요청,장기손사기획파트,3
배상책임보험 (누수) 90일 면책기간 신설에 따른 제어 프로세스 추가,‘배상책임보험 (누수) 90일 면책기간 신설에 따른 제어 프로세스 추가,장기손사기획파트,1
배치_사전질의 회신 로직 개선,"1. 개요					
 _. 데이터 정비 필요하여 신규 배치 개발 필요					
					
2. 요청내용					
 _. 미고지질병 신규 적재 배치 개발 요청					
",이재계약관리팀,0
